smiles,score_UV_FILTER
C[C@H](O)C(=O)N1CCC(NC(=O)c2cc(C3CC3)[nH]n2)C12CCC2,0.00020077550438706682
C[C@H]1C[C@@H]1C(=O)N1CCC(F)(CNc2ncns2)CC1,0.00042573931600149793
C[C@H]1CN(c2ccnc(Cl)n2)C[C@H]1NC(=O)c1ccc(=O)[nH]c1,0.0007037424608316108
C=C(Cl)CCC(=O)N1C[C@H](C)[C@H](NC(=O)C2(COC)CCCC2)C1,0.000394782523067551
CC(=O)N[C@H]1CCN(C(=O)c2cnn(CC3CCOCC3)c2)C1,0.0005588772731032227
CC(C(=O)NCC1CCN1C(=O)COC1CC1)N1CCSCC1,0.00016307390007997465
CC(C)(C(=O)Nc1cnoc1C1CCOCC1)c1ccc(O)cc1,0.0010075309987812246
CC(C)(C(=O)O)[C@@H](NCc1ccc2nnnn2c1)C1CC1,0.000261677774014616
CC(C)(C)OC(=O)C1CCN(S(=O)(=O)CCn2ccnn2)C1,0.00021563015553986638
CC(C)(CC(=O)N1CCCC(NC(=O)c2ccns2)C1)C(F)F,0.0005843145578777923
CC(C)(O)CCC(=O)N1CCC(NC(=O)c2cnc(N)o2)CC1,0.18968825801506461
CC(C)C(F)C(=O)N(C)C1CCN(C(=O)[C@H]2C[C@@H](O)C2)CC1,0.0003262429004797682
CC(C)Oc1cc(C(=O)NC[C@@H](C)NC(=O)CC23CC(C2)C3)ccn1,0.18485608746634366
CC(C)c1ccc(CN[C@@H]2COC[C@@H]2NC(=O)OC(C)(C)C)c(=O)[nH]1,0.0004951395181547625
CC(C)c1n[nH]cc1S(=O)(=O)NC1CCC(C)(C)C1,0.000822348960462962
CC(C)c1ncc(CN2CC(NS(=O)(=O)N(C)C)C2)cn1,0.00022979010361811168
CC(CC(=O)NCC1CC(NC(=O)C2(C#N)CCC2)C1)C(F)F,0.20400036227943422
CC(CNC(=O)C1CCCO1)NC(=O)c1ccc2ccccc2c1F,0.0005969816468850378
CC(CNC(=O)CNC(=O)C1CC1)NC(=O)c1c(C#N)cnn1C,0.22236325414845232
CC(O)CCCC(=O)N1CC2(C1)CN(C(=O)[C@@H](O)C(C)C)CCO2,0.00023029629332529272
CC(F)(F)C(=O)NC1CCN(C(=O)CC2CCNC2=O)C12CCC2,0.1493369086898785
CC1(C)CC(C)(C(=O)N[C@H]2C[C@H](NC(=O)C(C)(F)C(C)(C)F)C2)C1,0.0008283081841725461
CC1(C)CC(O)(CC(=O)N2CCC23CC(C(F)F)C3)CO1,0.3069434271038746
CC1(C)OC[C@@H](C(=O)NCC(O)CNC(=O)C2CC2C2CCCC2)O1,0.00042957875544033145
CC1=C(C(=O)NCc2nc(C)cc(Cl)n2)Cn2nnnc2N1C,0.3353886975554766
CC1CC(C#N)(C(=O)N(C)C(C)CNC(=O)C(C)n2cccn2)C1,0.0013320088932244913
CC1CC(C(=O)N2CCC(C)(C)C(CNC(=O)c3ccon3)C2)CO1,0.00037610934784886187
CC1CCCN(C(=O)c2cccc(-n3cncn3)n2)C1C,0.0006895642412572303
CC1CCOC1CC(=O)N1CC(NC(=O)C23CCCC(CO2)C3)C1,0.00038581276112380035
CC1CN(C(=O)C2(C3CC3)CC2)CCN1C(=O)c1ccc(CN(C)C)[nH]1,0.0004419918356188167
CC1COCC(C)N1CC(=O)N(C1CCCC1)C1CCS(=O)(=O)C1,0.00038236874428673116
CC1NC(=O)C(C)N(C(=O)c2[nH]ccc2C2CC2)C1C,0.00042636881990205564
CCC(C)C(=O)NC[C@@H](C)NC(=O)c1nnc(N)s1,0.00044181038969601103
CCC(C)CCC(=O)N1CCN(C(=O)c2nonc2N)C[C@H]1C,0.0005162266458460736
CCC(CC)(CNC(=O)N(C)c1ncccn1)N1CCOCC1,0.0005176223474645261
CCC(NCc1nc(C(C)C)no1)C(=O)N1CCCC1,0.00024146251111830001
CCC(O)[C@@H]1CCCN1C(=O)Nc1nn(C(F)F)cc1C,0.0007571169415382732
CCC(O)CC(=O)N1CCC[C@@H]1CCNC(=O)CCOC1CC1,0.0002531370069962957
CCC1(Nc2cc(C)nc(C3CC3)n2)CCN(C(=O)[C@@H](O)C(C)C)CC1,0.0013893313409128183
CCC1CC1C(=O)N[C@H]1[C@@H]2CN(C(=O)[C@@H](C)N(C)C)C[C@@H]21,0.00023558424742030392
CCC1CC1C(=O)NC1(C)CCN(C(=O)c2cnnn2C2CC2)CC1,0.0007789404208092901
CCC1CCCC1C(=O)NC(CNC(=O)[C@H](C)O)c1ccccc1,0.0006840421297076385
CCC1CCN(C(=O)NC2CCC3(CCCNC3)CC2)C1,0.0006363636842877378
CCCC(C(=O)N(C)CC1CCN(C(=O)[C@H]2CCC(=O)N2)C1)C(C)C,0.17793425691938428
CCCC(CC)CC(=O)N(C)CCCN(C)C(=O)c1nc(C)nn1C,0.0007532584352096764
CCCC(CNC(=O)NCc1ncnn1C)OC,0.00045494692382234525
CCCC1CC(C(=O)N2CCN(C(=O)c3oncc3C)CC2C)CCO1,0.000518760887963842
CCCCC(CNC(=O)[C@@H]1C[C@H]1C)NC(=O)c1cnc(OC)nc1,0.0006656355065104117
CCCn1ccc(C(=O)N2CCCC(N(C)C(=O)C3CCCO3)C2)n1,0.16444199459454314
CCN(CC)CC(=O)NC1CCCN(C(=O)Cc2ccc(C)o2)C1,0.0002494262854851677
CCN1CCC(N(C)C(=O)c2cccc(C(C)=O)c2)C1,0.167642907001199
CCN1CCC(n2cnc3c2CCN(C(=O)C(C)C)CC3)CC1,0.0006636438404190469
CCOC(=O)C1CN(C(=O)CCn2ccnn2)CC1N1CCOCC1,0.00022223909886569986
CCOC(=O)c1cccnc1N1CCN(C(=O)c2ccc(F)o2)CC1,0.5174456091228491
CCOC(C)C(=O)N1C[C@@H]2C[C@H]1CN2c1ncc(C)c(O)n1,0.24902257323838933
CCOCc1nc(C)c(C(=O)N(CC)CCNC(=O)C23CC2C3)s1,0.0003507299906084503
CCOc1ccc(NC(=O)Cc2c(C)noc2C)c(OCC)n1,0.0004798446092140864
CCOc1nc(C(F)(F)F)ccc1C(=O)N(C)Cc1nnc(CC)o1,0.00048305371112932697
CCS(=O)(=O)CC(=O)N1CCC(CNC(=O)C2(O)CC2)C(C)C1,0.19024065503030987
CCc1cc(C)nc(NCC(O)CNC(=O)Cc2ccccc2)n1,0.00040995275033670216
CCc1cc(N2CCN(C(=O)C(C)NC(=O)NC)CC2)ncn1,0.0003180117773746052
CCc1cccc2c(CC(=O)N3CC(C(CC)NC(C)=O)C3)c[nH]c12,0.000568200617556289
CCc1ncc(C(=O)OCCc2nc(C(C)(C)C)no2)s1,0.0006023167885738115
CCn1c(C(=O)NCC2(O)CN(C(=O)CCC3CCC3)C2)cnc1O,0.1969704925586317
CCn1nc(C(=O)NCc2nnc(N3CCCC3)o2)cc1C1CC1,0.0004773770047918069
CCn1nnc(C(=O)NCC2CN(C(=O)CCC3CCCC3)C2)c1C,0.0004025916353627045
CN(C)[C@@H]1CN(Cc2ccc(F)c(Cl)c2)C[C@@H]1O,0.00039651130117680306
CN(C)CC(=O)NC1(C)CCN(C(=O)C2COC(=O)O2)C1,0.0002802902507702633
CN(CC(=O)NCCC1(O)CN(C(=O)c2ccncc2F)C1)C(N)=O,0.00015850401221184814
CN(CCN1CC(O)C1)C(=O)CN1CCc2ccccc21,0.0005797762138074119
CN1CCCN(C(=O)CC2CSCCN2C)c2cc(F)ccc21,0.000808018058827384
CN1CCN(c2cc(C(=O)NCc3cccc(=O)[nH]3)ccn2)CC1=O,0.14420478215002483
CNC(=O)c1cccc(CCNC(=O)[C@@H]2C[C@H]3[C@@H](N2)C3(F)F)c1,0.000354029032894044
CNS(=O)(=O)CC(=O)N1CCCC(CNC(=O)C(O)C2CC2)C1,0.09448312476272211
COC(=O)[C@@H]1C[C@H]1COC(=O)Cc1c(Cl)cnn1C,0.0005503611480814791
COC(=O)C(CCN1CC(=O)N(C)c2ccccc21)c1ccccc1,0.4059231827502649
COC(=O)C1(CNC(=O)C2CCn3nnnc3C2)COC1,0.00011972996579627797
COC(=O)Cc1coc(CNCc2ncc(C)s2)n1,0.00043837842885406924
COC(=O)N[C@@H](C)C(=O)N[C@H]1CCN(C(=O)c2cnc[nH]2)C1,0.00024062540369061979
COC(=O)c1cc(NC(=O)N2c3ccccc3CC2C)cnc1OC,0.4672456409678706
COC(=O)c1ccnc2c1CN(C(=O)NC1COCCC1(F)F)C2,0.00022663888798075886
COC(C(=O)NC(C)CN(C)CC1CCOCC1)C1CCOC1,0.0003114323233944135
